index,id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
401,339,http://static-media.fxx.com/img/FX_Networks_-_FXX/124/450/She_Used_to_be_My_Girl.jpg,6.6,562.0,4,339,2004-12-05,2004,FABF22,16,She Used to Be My Girl,10.81,http://www.simpsonsworld.com/video/256753731544,38908.0
402,330,http://static-media.fxx.com/img/FX_Networks_-_FXX/824/778/My_Big_Fat_Geek_Wedding.jpg,6.7,560.0,17,330,2004-04-18,2004,FABF12,15,My Big Fat Geek Wedding,9.2,http://www.simpsonsworld.com/video/227423299561,42440.0
403,350,http://static-media.fxx.com/img/FX_Networks_-_FXX/950/399/Future_Drama.jpg,7.3,615.0,15,350,2005-04-17,2005,GABF12,16,Future-Drama,8.31,http://www.simpsonsworld.com/video/260841027999,53146.0
404,364,http://static-media.fxx.com/img/FX_Networks_-_FXX/224/550/Simpsons_17_09.jpg,7.0,706.0,8,364,2005-12-11,2005,HABF02,17,The Italian Bob,10.39,http://www.simpsonsworld.com/video/256858691577,45513.0
405,332,http://static-media.fxx.com/img/FX_Networks_-_FXX/733/463/Simple_Simpson.jpg,7.3,600.0,19,332,2004-05-02,2004,FABF15,15,Simple Simpson,9.5,http://www.simpsonsworld.com/video/227327555884,46273.0
406,367,http://static-media.fxx.com/img/FX_Networks_-_FXX/165/167/were_on_the_road.jpg,7.0,535.0,11,367,2006-01-29,2006,HABF04,17,We're on the Road to D'ohwhere,9.04,http://www.simpsonsworld.com/video/310483523720,43599.0
407,346,http://static-media.fxx.com/img/FX_Networks_-_FXX/193/295/Simpsons_16_11.jpg,6.9,572.0,11,346,2005-03-06,2005,GABF05,16,On a Clear Day I Can't See My Sister,10.39,http://www.simpsonsworld.com/video/256825923849,46309.0
408,355,http://static-media.fxx.com/img/FX_Networks_-_FXX/401/771/Simpsons_16_21.jpg,7.1,546.0,20,355,2005-05-15,2005,GABF15,16,Home Away from Homer,8.17,http://www.simpsonsworld.com/video/264560707993,44606.0
409,336,http://static-media.fxx.com/img/FX_Networks_-_FXX/113/215/Treehouse_of_Horror_XV.jpg,7.4,666.0,1,336,2004-11-07,2004,FABF23,16,Treehouse of Horror XV,11.29,http://www.simpsonsworld.com/video/256741955834,72271.0
410,341,http://static-media.fxx.com/img/FX_Networks_-_FXX/138/115/Simpsons_16_01.jpg,7.3,554.0,6,341,2005-01-16,2005,FABF16,16,Midnight Rx,8.11,http://www.simpsonsworld.com/video/256768067710,43118.0
411,344,http://static-media.fxx.com/img/FX_Networks_-_FXX/166/943/Pranksta_Rap.jpg,6.8,607.0,9,344,2005-02-13,2005,GABF03,16,Pranksta Rap,8.01,http://www.simpsonsworld.com/video/256798275935,42759.0
412,194,http://static-media.fxx.com/img/FX_Networks_-_FXX/422/899/Simpsons_09_17.jpg,7.6,887.0,16,194,1998-03-01,1998,5F12,9,Dumbbell Indemnity,10.3,http://www.simpsonsworld.com/video/283910211639,21214.0
413,375,http://static-media.fxx.com/img/FX_Networks_-_FXX/537/823/girls_just_want_to_have_sums.jpg,7.2,582.0,19,375,2006-04-30,2006,HABF12,17,Girls Just Want to Have Sums,8.7,http://www.simpsonsworld.com/video/274367043639,45267.0
414,377,http://static-media.fxx.com/img/FX_Networks_-_FXX/98/131/the_monkey_suit.jpg,7.1,596.0,21,377,2006-05-14,2006,HABF14,17,The Monkey Suit,8.3,http://www.simpsonsworld.com/video/277127235959,48419.0
415,396,http://static-media.fxx.com/img/FX_Networks_-_FXX/597/1003/the_boys_of_bummer.jpg,6.3,585.0,18,396,2007-04-29,2007,JABF11,18,The Boys of Bummer,7.57,http://www.simpsonsworld.com/video/279798851587,44770.0
416,405,http://static-media.fxx.com/img/FX_Networks_-_FXX/55/339/treehouse.jpg,7.1,687.0,5,405,2007-11-04,2007,JABF16,19,Treehouse of Horror XVIII,11.7,http://www.simpsonsworld.com/video/302852163741,69957.0
417,393,http://static-media.fxx.com/img/FX_Networks_-_FXX/70/479/rome_oh_and_julie_eh.jpg,6.3,606.0,15,393,2007-03-11,2007,JABF08,18,Rome-Old and Juli-Eh,8.98,http://www.simpsonsworld.com/video/302868035943,41751.0
418,416,http://static-media.fxx.com/img/FX_Networks_-_FXX/287/639/papa_dont_leach.jpg,6.1,585.0,16,416,2008-04-13,2008,KABF09,19,Papa Don't Leech,6.9,http://www.simpsonsworld.com/video/283768387739,39238.0
419,378,http://static-media.fxx.com/img/FX_Networks_-_FXX/856/874/Simpsons_17_22.jpg,6.6,587.0,22,378,2006-05-21,2006,HABF16,17,Marge and Homer Turn a Couple Play,8.23,http://www.simpsonsworld.com/video/292955203576,42778.0
420,388,http://static-media.fxx.com/img/FX_Networks_-_FXX/284/210/the_wife_aquatic.jpg,6.6,615.0,10,388,2007-01-07,2007,JABF03,18,The Wife Aquatic,13.9,http://www.simpsonsworld.com/video/283764803572,41312.0
421,423,http://static-media.fxx.com/img/FX_Networks_-_FXX/565/23/double_double.jpg,7.0,638.0,3,423,2008-10-19,2008,KABF14,20,"Double, Double, Boy in Trouble",8.09,http://www.simpsonsworld.com/video/304460355919,45781.0
422,382,http://static-media.fxx.com/img/FX_Networks_-_FXX/73/407/treehouse_horror.jpg,7.1,723.0,4,382,2006-11-05,2006,HABF17,18,Treehouse of Horror XVII,10.43,http://www.simpsonsworld.com/video/302871107984,68799.0
423,411,http://static-media.fxx.com/img/FX_Networks_-_FXX/87/799/that_90s_show.jpg,6.3,1069.0,11,411,2008-01-27,2008,KABF04,19,That '90s Show,7.6,http://www.simpsonsworld.com/video/299664963588,43485.0
424,428,http://static-media.fxx.com/img/FX_Networks_-_FXX/186/663/the_burns_and_the_bees.jpg,6.6,615.0,8,428,2008-12-07,2008,KABF21,20,The Burns and the Bees,6.19,http://www.simpsonsworld.com/video/310506051725,38247.0
425,384,http://static-media.fxx.com/img/FX_Networks_-_FXX/74/579/Simpsons_18_04.jpg,6.8,605.0,6,384,2006-11-19,2006,HABF19,18,Moe'N'a Lisa,9.31,http://www.simpsonsworld.com/video/307167299594,37177.0
426,386,http://static-media.fxx.com/img/FX_Networks_-_FXX/584/815/the_haw_hawed.jpg,7.2,578.0,8,386,2006-12-10,2006,JABF02,18,The Haw-Hawed Couple,8.29,http://www.simpsonsworld.com/video/279785027791,41161.0
427,407,http://static-media.fxx.com/img/FX_Networks_-_FXX/542/258/husbands_and_knives.jpg,7.1,762.0,7,407,2007-11-18,2007,JABF17,19,Husbands and Knives,10.5,http://www.simpsonsworld.com/video/294772803561,44445.0
428,420,http://static-media.fxx.com/img/FX_Networks_-_FXX/544/211/all_about_lisa.jpg,6.4,538.0,20,420,2008-05-18,2008,KABF13,19,All About Lisa,6.11,http://www.simpsonsworld.com/video/294774851723,44616.0
429,400,http://static-media.fxx.com/img/FX_Networks_-_FXX/62/671/you_kent_always_say.jpg,7.3,692.0,22,400,2007-05-20,2007,JABF15,18,You Kent Always Say What You Want,9.8,http://www.simpsonsworld.com/video/302859843984,45281.0
430,425,http://static-media.fxx.com/img/FX_Networks_-_FXX/277/902/dangerous_curves.jpg,6.6,615.0,5,425,2008-11-09,2008,KABF18,20,Dangerous Curves,8.16,http://www.simpsonsworld.com/video/311675459549,40078.0
431,391,http://static-media.fxx.com/img/FX_Networks_-_FXX/78/786/Simpsons_18_14.jpg,7.3,617.0,13,391,2007-02-18,2007,JABF07,18,Springfield Up,8.8,http://www.simpsonsworld.com/video/302876739533,45036.0
432,389,http://static-media.fxx.com/img/FX_Networks_-_FXX/309/111/revenge_is_a_dish_best.jpg,7.0,580.0,11,389,2007-01-28,2007,JABF05,18,Revenge Is a Dish Best Served Three Times,8.09,http://www.simpsonsworld.com/video/283790915851,67621.0
433,395,http://static-media.fxx.com/img/FX_Networks_-_FXX/11/219/Simpsons_18_17_Marge_Gamer_1280x720_335181891611.jpg,7.3,678.0,17,395,2007-04-22,2007,JABF10,18,Marge Gamer,6.4,http://www.simpsonsworld.com/video/277036099916,47107.0
434,398,http://static-media.fxx.com/img/FX_Networks_-_FXX/68/527/stop_or_my_dog_will_shoot.jpg,7.0,569.0,20,398,2007-05-13,2007,JABF12,18,Stop! Or My Dog Will Shoot,6.48,http://www.simpsonsworld.com/video/302865987860,42892.0
