index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att_y,Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
5,Kerem Demirbay,10.0,de GER,AM,28-042,90,0,0,0,0,2,0,0,0,66.0,2.0,1,0.0,0.0,0.0,0.1,3.0,0.0,35.0,49.0,71.4,7.0,34.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0,2
6,Charles Aránguiz,20.0,cl CHI,DM,32-119,90,0,0,0,0,1,0,0,0,80.0,3.0,3,2.0,0.0,0.0,0.0,6.0,0.0,60.0,70.0,85.7,3.0,45.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
7,Exequiel Palacios,25.0,ar ARG,DM,22-313,88,0,0,0,0,0,0,0,0,82.0,4.0,2,1.0,0.0,0.0,0.0,0.0,0.0,69.0,75.0,92.0,5.0,47.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
8,Julian Baumgartlinger,15.0,at AUT,DM,33-224,2,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
9,Mitchel Bakker,5.0,nl NED,LB,21-055,90,0,0,0,0,1,0,0,0,102.0,4.0,1,0.0,0.1,0.1,0.1,3.0,0.0,76.0,89.0,85.4,5.0,58.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0,2
10,Jonathan Tah,4.0,de GER,CB,25-184,90,0,0,0,0,2,0,0,0,96.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,73.0,85.0,85.9,1.0,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,2
11,Odilon Kossonou,6.0,ci CIV,CB,20-222,90,0,0,0,0,0,0,0,0,100.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,82.0,90.0,91.1,2.0,61.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
12,Jeremie Frimpong,30.0,nl NED,RB,20-247,90,0,1,0,0,0,0,0,0,80.0,1.0,2,1.0,0.0,0.0,0.2,5.0,1.0,68.0,74.0,91.9,4.0,45.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0,2
13,Lukáš Hrádecký,1.0,fi FIN,GK,31-263,90,0,0,0,0,0,0,0,0,41.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,40.0,72.5,0.0,21.0,0.0,0.0,0.0,5.0,1.0,4.0,80.0,0.6,6.0,15.0,40.0,33.0,3.0,30.3,29.2,7.0,71.4,51.9,6.0,0.0,0.0,3.0,24.3,0,2
0,Wout Weghorst,9.0,nl NED,FW,29-007,90,1,0,0,1,6,5,0,0,29.0,0.0,0,0.0,1.3,0.6,0.3,4.0,0.0,11.0,19.0,57.9,1.0,15.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,3
1,Renato Steffen,11.0,ch SUI,LW,29-284,69,0,0,0,0,2,0,0,0,51.0,2.0,1,0.0,0.4,0.4,0.2,3.0,0.0,37.0,40.0,92.5,2.0,40.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,3
2,Omar Marmoush,29.0,eg EGY,FW,,21,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
3,Ridle Baku,20.0,de GER,RW,23-128,90,0,0,0,0,3,1,0,0,36.0,0.0,0,3.0,0.5,0.5,0.0,3.0,0.0,18.0,25.0,72.0,2.0,25.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,3
