Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y,Goal Kicks_y,Throw Ins_y,Long Balls_y
5.0,Sun,2022-09-04,17:30,M'Gladbach,1.2,0.6,Mainz 05,51210.0,Stadion im Borussia-Park,Deniz Aytekin,44,0,1,8.0,4.0,13.0,599.0,11.0,8.0,17.0,30.0,3.0,11.0,24.0,66.0,15.0,8.0,32.0,532.0,7.0,17.0,15.0,14.0,5.0,7.0,18.0,65.0
6.0,Fri,2022-09-09,20:30,Werder Bremen,1.3,1.0,Augsburg,41000.0,Wohninvest Weserstadion,Martin Petersen,45,0,1,12.0,3.0,16.0,708.0,15.0,8.0,24.0,21.0,1.0,8.0,20.0,115.0,13.0,7.0,16.0,408.0,13.0,11.0,21.0,23.0,5.0,5.0,32.0,89.0
6.0,Sat,2022-09-10,15:30,Bayern Munich,2.2,1.2,Stuttgart,75000.0,Allianz Arena,Christian Dingert,46,2,2,12.0,3.0,8.0,777.0,27.0,9.0,6.0,8.0,2.0,5.0,20.0,46.0,9.0,0.0,9.0,452.0,24.0,7.0,9.0,10.0,0.0,11.0,23.0,73.0
6.0,Sat,2022-09-10,15:30,Eint Frankfurt,0.7,1.0,Wolfsburg,49000.0,Deutsche Bank Park,Tobias Reichel,47,0,1,16.0,10.0,26.0,653.0,10.0,5.0,12.0,12.0,3.0,5.0,22.0,64.0,13.0,5.0,13.0,453.0,10.0,15.0,9.0,33.0,2.0,10.0,19.0,71.0
6.0,Sat,2022-09-10,15:30,Hertha BSC,1.9,1.3,Leverkusen,40643.0,Olympiastadion Berlin,Benjamin Brand,48,2,2,15.0,3.0,14.0,487.0,15.0,10.0,27.0,17.0,1.0,7.0,16.0,76.0,16.0,5.0,18.0,610.0,16.0,8.0,16.0,14.0,0.0,7.0,26.0,63.0
6.0,Sat,2022-09-10,15:30,Hoffenheim,4.2,0.7,Mainz 05,20114.0,PreZero Arena,Daniel Schlager,49,4,1,9.0,7.0,21.0,750.0,8.0,9.0,14.0,16.0,2.0,3.0,17.0,75.0,13.0,5.0,12.0,448.0,11.0,8.0,11.0,20.0,1.0,11.0,22.0,66.0
6.0,Sat,2022-09-10,15:30,RB Leipzig,2.0,0.6,Dortmund,47069.0,Red Bull Arena,Sven Jablonski,50,3,0,12.0,5.0,11.0,539.0,25.0,14.0,11.0,14.0,2.0,6.0,23.0,73.0,6.0,8.0,21.0,628.0,25.0,17.0,11.0,9.0,0.0,9.0,24.0,72.0
6.0,Sat,2022-09-10,18:30,Schalke 04,1.5,1.1,Bochum,62041.0,Veltins-Arena,Felix Zwayer,51,3,1,11.0,3.0,15.0,493.0,14.0,13.0,14.0,35.0,1.0,9.0,22.0,80.0,16.0,8.0,36.0,540.0,16.0,3.0,15.0,12.0,2.0,5.0,22.0,98.0
6.0,Sun,2022-09-11,15:30,Köln,0.6,1.5,Union Berlin,49500.0,RheinEnergieSTADION,Benjamin Cortus,52,0,1,15.0,7.0,23.0,630.0,13.0,8.0,39.0,28.0,1.0,9.0,25.0,76.0,12.0,8.0,18.0,585.0,15.0,8.0,25.0,31.0,1.0,5.0,25.0,87.0
6.0,Sun,2022-09-11,17:30,Freiburg,1.1,1.2,M'Gladbach,34700.0,Europa-Park Stadion,Tobias Stieler,53,0,0,13.0,7.0,22.0,529.0,21.0,6.0,18.0,6.0,3.0,8.0,17.0,58.0,6.0,6.0,14.0,695.0,13.0,7.0,18.0,26.0,3.0,9.0,14.0,55.0
7.0,Fri,2022-09-16,20:30,Mainz 05,0.7,0.4,Hertha BSC,25300.0,Mewa Arena,Frank Willenborg,54,1,1,12.0,4.0,16.0,640.0,17.0,15.0,20.0,13.0,4.0,7.0,33.0,88.0,10.0,3.0,7.0,533.0,15.0,14.0,21.0,30.0,2.0,7.0,20.0,81.0
7.0,Sat,2022-09-17,15:30,Dortmund,1.8,0.1,Schalke 04,81100.0,Signal Iduna Park,Felix Brych,55,1,0,12.0,11.0,32.0,731.0,13.0,17.0,23.0,16.0,3.0,3.0,21.0,85.0,14.0,2.0,11.0,438.0,15.0,9.0,16.0,33.0,3.0,13.0,28.0,71.0
7.0,Sat,2022-09-17,15:30,Leverkusen,1.8,2.1,Werder Bremen,30210.0,BayArena,Tobias Welz,56,1,1,5.0,9.0,20.0,656.0,11.0,7.0,15.0,17.0,1.0,4.0,26.0,60.0,14.0,6.0,14.0,600.0,25.0,7.0,13.0,26.0,2.0,12.0,14.0,86.0
7.0,Sat,2022-09-17,15:30,Stuttgart,1.0,1.0,Eint Frankfurt,47500.0,Mercedes-Benz Arena,Daniel Siebert,57,1,3,9.0,7.0,25.0,678.0,26.0,18.0,18.0,13.0,4.0,4.0,25.0,65.0,11.0,4.0,9.0,582.0,18.0,3.0,6.0,33.0,1.0,10.0,21.0,57.0
7.0,Sat,2022-09-17,15:30,Augsburg,1.7,1.6,Bayern Munich,30660.0,WWK Arena,Marco Fritz,58,1,0,16.0,2.0,9.0,388.0,24.0,12.0,16.0,32.0,2.0,17.0,17.0,87.0,9.0,8.0,26.0,854.0,15.0,7.0,21.0,8.0,2.0,9.0,20.0,84.0
