color,start time,start date,end time,end date,duration
Amber,20:40,24-Sep-12,21:50,24-Sep-12,01 10
Red,21:50,24-Sep-12,0:50,25-Sep-12,03 00
Amber,15:50,19-Mar-13,19:15,19-Mar-13,03 25
Amber,16:50,26-Mar-13,19:35,26-Mar-13,02 45
Amber,8:40,5-Apr-13,10:30,5-Apr-13,01 50
Amber,0:00,6-Apr-13,2:30,6-Apr-13,02 30
Amber,19:30,25-Apr-13,21:00,25-Apr-13,01 30
Amber,14:20,30-Apr-13,16:15,30-Apr-13,01 55
Amber,21:45,8-May-13,1:30,9-May-13,03 45
Amber,13:35,16-May-13,15:20,16-May-13,01 45
Amber,20:10,20-May-13,21:20,20-May-13,01 10
Amber,11:10,21-May-13,12:30,21-May-13,01 20
Amber,1:30,22-May-13,3:20,22-May-13,01 50
Red,3:20,22-May-13,4:10,22-May-13,00 50
Black,4:10,22-May-13,9:45,22-May-13,05 35
Amber,9:45,22-May-13,10:30,22-May-13,00 45
Amber,10:05,25-May-13,12:25,25-May-13,02 20
Amber,2:10,11-Jun-13,5:15,11-Jun-13,03 05
Amber,10:50,11-Jun-13,12:00,11-Jun-13,01 10
Amber,6:15,24-Jun-13,10:20,24-Jun-13,04 05
Red,10:20,24-Jun-13,11:35,24-Jun-13,01 15
Amber,11:35,24-Jun-13,12:00,24-Jun-13,00 25
Amber,16:05,7-Jul-13,17:15,7-Jul-13,01 10
Amber,23:35,14-Jul-13,1:05,15-Jul-13,01 30
Amber,8:00,26-Jul-13,10:30,26-Jul-13,02 30
Amber,3:40,30-Aug-13,5:15,30-Aug-13,01 35
Amber,7:55,30-Aug-13,9:20,30-Aug-13,01 25
Amber,7:30,4-Sep-13,11:00,4-Sep-13,03 30
Amber,11:10,29-Mar-14,12:20,29-Mar-14,01 10
Amber,19:45,30-Mar-14,20:15,30-Mar-14,00 30
Red,20:15,30-Mar-14,20:40,30-Mar-14,00 25
Black,20:40,30-Mar-14,22:30,30-Mar-14,01 50
Amber,22:30,30-Mar-14,1:50,31-Mar-14,03 20
Amber,8:40,31-Mar-14,11:40,31-Mar-14,03 00
Amber,4:45,3-Apr-14,6:00,3-Apr-14,01 15
Amber,2:00,5-May-14,3:45,5-May-14,01 45
Amber,20:45,8-May-14,22:05,8-May-14,01 20
Red,22:05,8-May-14,22:30,8-May-14,00 25
Black,22:30,8-May-14,23:40,8-May-14,01 10
Red,23:40,8-May-14,0:15,9-May-14,00 35
Amber,0:15,9-May-14,2:05,9-May-14,01 50
Amber,8:30,9-May-14,10:20,9-May-14,01 50
Amber,20:50,9-May-14,22:20,9-May-14,01 30
Amber,7:55,11-May-14,11:55,11-May-14,04 00
Amber,14:15,11-May-14,21:50,11-May-14,07 35
Red,21:50,11-May-14,23:55,11-May-14,02 05
Amber,23:55,11-May-14,3:55,12-May-14,04 00
Amber,15:30,20-May-14,17:15,20-May-14,01 45
Amber,3:15,21-May-14,6:40,21-May-14,03 25
Amber,21:35,8-Jun-14,22:00,8-Jun-14,00 25
Red,22:00,8-Jun-14,23:10,8-Jun-14,01 10
Amber,23:10,8-Jun-14,23:45,8-Jun-14,00 35
Amber,8:30,21-Jun-14,10:50,21-Jun-14,02 20
Amber,1:20,22-Jun-14,2:05,22-Jun-14,00 45
Red,2:05,22-Jun-14,5:05,22-Jun-14,03 00
Amber,5:05,22-Jun-14,6:25,22-Jun-14,01 20
Amber,15:50,22-Jul-14,17:00,22-Jul-14,01 10
Amber,22:15,24-Jul-14,23:15,24-Jul-14,01 00
Amber,20:15,1-Aug-14,21:45,1-Aug-14,01 30
Amber,0:40,3-Aug-14,1:15,3-Aug-14,00 35
Amber,18:35,12-Aug-14,19:15,12-Aug-14,00 40
