Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2001-09-03,,,,940.38,,,7.46,0.98,3.16
2001-09-04,,,,927.59,,,7.36,0.97,3.21
2001-09-05,,,,927.45,,,7.36,0.97,3.21
2001-09-06,,,,917.34,,,7.28,0.96,3.24
2001-09-07,,,,911.98,,,7.24,0.95,3.26
2001-09-10,,,,907.04,,,7.2,0.95,3.28
2001-09-11,,,,899.98,,,7.14,0.94,3.3
2001-09-12,,,,864.41,,,6.86,0.9,3.44
2001-09-13,,,,860.68,,,6.83,0.9,3.46
2001-09-14,,,,819.21,,,6.5,0.86,3.63
2001-09-17,,,,755.86,,,6,0.79,3.93
2001-09-18,,,,791.3,,,6.28,0.83,3.76
2001-09-19,,,,803.51,,,6.38,0.84,3.7
2001-09-20,,,,786.3,,,6.24,0.82,3.78
2001-09-21,,,,743.7,,,5.9,0.78,4
2001-09-24,,,,749.83,,,5.95,0.78,3.97
2001-09-25,,,,753.43,,,5.98,0.79,3.95
2001-09-26,,,,762.5,,,6.05,0.8,3.9
2001-09-27,,,,778.3,,,6.18,0.81,3.82
2001-09-28,,,,797.97,,,6.33,0.83,3.73
2001-10-01,,,,810.26,,,6.43,0.85,3.67
2001-10-03,,,,800.19,,,6.35,0.84,3.72
2001-10-04,,,,808.18,,,6.41,0.84,3.68
2001-10-05,,,,816.48,,,6.48,0.85,3.64
2001-10-08,,,,806.7,,,6.4,0.84,3.69
2001-10-09,,,,812.29,,,6.45,0.85,3.66
2001-10-10,,,,824.19,,,6.54,0.86,3.61
2001-10-11,,,,837.9,,,6.65,0.87,3.55
2001-10-12,,,,858.59,,,6.81,0.9,3.46
2001-10-15,,,,855.42,,,6.79,0.89,3.48
2001-10-16,,,,855.47,,,6.79,0.89,3.48
2001-10-17,,,,863.45,,,6.85,0.9,3.44
2001-10-18,,,,852.81,,,6.77,0.89,3.49
2001-10-19,,,,857.27,,,6.8,0.9,3.47
2001-10-22,,,,868.73,,,6.89,0.91,3.42
2001-10-23,,,,878.3,,,6.97,0.92,3.39
2001-10-24,,,,884.62,,,7.02,0.92,3.36
2001-10-25,,,,884.74,,,7.02,0.92,3.36
2001-10-29,,,,893.42,,,7.09,0.93,3.33
2001-10-30,,,,878,,,6.97,0.92,3.39
2001-10-31,,,,875.15,,,6.95,0.91,3.4
2001-11-01,,,,890.79,,,6.94,0.93,3.48
2001-11-02,,,,901.93,,,7.02,0.94,3.43
2001-11-05,,,,913.44,,,7.11,0.95,3.39
2001-11-06,,,,920.37,,,7.17,0.96,3.36
2001-11-07,,,,912.1,,,7.1,0.95,3.4
2001-11-08,,,,909.11,,,7.08,0.95,3.41
2001-11-09,,,,908.28,,,7.07,0.95,3.41
2001-11-12,,,,908.74,,,7.08,0.95,3.41
2001-11-13,,,,908.92,,,7.08,0.95,3.41
2001-11-14,,,,911.91,,,7.1,0.95,3.4
2001-11-15,,,,914.89,,,7.13,0.96,3.38
2001-11-19,,,,916.24,,,7.14,0.96,3.38
2001-11-20,,,,928.5,,,7.23,0.97,3.34
2001-11-21,,,,919.01,,,7.16,0.96,3.37
2001-11-22,,,,926.3,,,7.21,0.97,3.34
2001-11-23,,,,925.13,,,7.2,0.97,3.35
2001-11-26,,,,937.95,,,7.3,0.98,3.3
2001-11-27,,,,955.93,,,7.44,1,3.24
2001-11-28,,,,948.28,,,7.39,0.99,3.27
2001-11-29,,,,928.1,,,7.23,0.97,3.34
2001-12-03,,,,917.02,,,7.14,0.96,3.38
2001-12-04,,,,913.9,,,7.12,0.96,3.39
2001-12-05,,,,914.62,,,7.12,0.96,3.39
2001-12-06,,,,927.17,,,7.22,0.97,3.34
2001-12-07,,,,918.91,,,7.16,0.96,3.37
2001-12-10,,,,920.29,,,7.17,0.96,3.37
2001-12-11,,,,896.32,,,6.98,0.94,3.46
2001-12-12,,,,891.55,,,6.94,0.93,3.47
2001-12-13,,,,879.65,,,6.85,0.92,3.52
2001-12-14,,,,860.17,,,6.7,0.9,3.6
2001-12-18,,,,861.58,,,6.71,0.9,3.59
2001-12-19,,,,849.87,,,6.62,0.89,3.64
2001-12-20,,,,862.46,,,6.72,0.9,3.59
2001-12-21,,,,853.34,,,6.65,0.89,3.63
2001-12-24,,,,844.82,,,6.58,0.88,3.67
2001-12-26,,,,842.07,,,6.63,0.89,3.64
2001-12-27,,,,821.02,,,6.47,0.87,3.73
2001-12-28,,,,842.97,,,6.64,0.89,3.63
2001-12-31,,,,868.61,,,6.84,0.92,3.52
2002-01-01,,,,870.25,,,6.86,0.92,3.52
2002-01-02,,,,878.02,,,6.92,0.93,3.49
2002-01-03,,,,903.03,,,7.11,0.96,3.39
2002-01-04,,,,903.9,,,7.12,0.96,3.39
2002-01-07,,,,886.59,,,6.99,0.94,3.45
2002-01-08,,,,877.93,,,6.92,0.93,3.49
2002-01-09,,,,900.17,,,7.09,0.95,3.4
2002-01-10,,,,898.38,,,7.08,0.95,3.41
2002-01-11,,,,892.85,,,7.03,0.94,3.43
2002-01-14,,,,936.27,,,7.38,0.99,3.27
2002-01-15,,,,931.9,,,7.34,0.99,3.28
2002-01-16,,,,938.1,,,7.39,0.99,3.26
2002-01-17,,,,939.65,,,7.4,0.99,3.26
2002-01-18,,,,948.48,,,7.47,1,3.23
2002-01-21,,,,938.47,,,7.39,0.99,3.26
2002-01-22,,,,945.75,,,7.45,1,3.24
2002-01-23,,,,937.39,,,7.39,0.99,3.27
2002-01-24,,,,920.09,,,7.25,0.97,3.33
2002-01-25,,,,920.64,,,7.25,0.97,3.32
2002-01-28,,,,939.24,,,7.4,0.99,3.26
2002-01-29,,,,922.23,,,7.27,0.98,3.32
2002-01-30,,,,926.8,,,7.3,0.98,3.3
2002-01-31,,,,917.79,,,7.23,0.97,3.34
2002-02-01,,,,923.38,,,7.28,0.98,3.32
2002-02-04,,,,946.63,,,7.46,1,3.23
2002-02-05,,,,941.37,,,7.42,1,3.25
2002-02-06,,,,1010,,,7.96,1.07,3.03
2002-02-07,,,,1024.33,,,8.07,1.08,2.99
2002-02-08,,,,1040.08,,,8.2,1.1,2.94
2002-02-11,,,,1044.52,,,8.23,1.1,2.93
2002-02-12,,,,1038.77,,,8.18,1.1,2.95
2002-02-13,,,,1057.17,,,8.33,1.12,2.9
2002-02-14,,,,1084.27,,,8.54,1.15,2.82
2002-02-15,,,,1098.96,,,8.71,1.17,2.77
2002-02-18,,,,1110.33,,,8.8,1.18,2.74
2002-02-19,,,,1071.29,,,8.49,1.14,2.84
2002-02-20,,,,1071.04,,,8.49,1.14,2.84
2002-02-21,,,,1086.94,,,8.61,1.16,2.8
2002-02-22,,,,1105.02,,,8.76,1.18,2.75
2002-02-25,,,,1103.63,,,8.75,1.17,2.76
2002-02-26,,,,1128.19,,,8.94,1.2,2.7
2002-02-27,,,,1109.17,,,8.79,1.18,2.74
2002-02-28,,,,1028.48,,,8.15,1.09,2.96
2002-03-01,,,,1062.9,,,8.42,1.13,2.86
2002-03-04,,,,1071.61,,,8.49,1.14,2.84
2002-03-05,,,,1063.62,,,8.43,1.13,2.86
2002-03-06,,,,1062.83,,,8.42,1.13,2.86
2002-03-07,,,,1066.41,,,8.45,1.13,2.85
2002-03-08,,,,1061.88,,,8.42,1.13,2.87
2002-03-11,,,,1052.04,,,8.34,1.12,2.89
2002-03-12,,,,1038.31,,,8.23,1.1,2.93
2002-03-13,,,,1042.31,,,8.26,1.11,2.92
2002-03-14,,,,1044.2,,,8.28,1.11,2.91
2002-03-15,,,,1060.62,,,8.41,1.13,2.87
2002-03-18,,,,1063.66,,,8.43,1.13,2.86
2002-03-19,,,,1058.06,,,8.39,1.13,2.88
2002-03-20,,,,1049.09,,,8.31,1.12,2.9
2002-03-21,,,,1040.72,,,8.25,1.11,2.92
2002-03-22,,,,1035.42,,,8.21,1.1,2.94
2002-03-26,,,,1034.71,,,8.2,1.1,2.94
2002-03-27,,,,1038.8,,,8.23,1.11,2.93
2002-03-28,,,,1033.58,,,8.19,1.1,2.94
2002-04-01,,,,1075.53,,,5.62,0.83,3.01
2002-04-02,,,,1067.3,,,5.57,0.83,3.03
2002-04-03,,,,1054.8,,,5.51,0.82,3.07
2002-04-04,,,,1057.07,,,5.52,0.82,3.06
2002-04-05,,,,1055.93,,,5.51,0.82,3.07
2002-04-08,,,,1069.59,,,5.59,0.83,3.03
2002-04-09,,,,1060.36,,,5.54,0.82,3.05
2002-04-10,,,,1063.45,,,5.55,0.82,3.04
2002-04-11,,,,1074.6,,,5.61,0.83,3.01
2002-04-12,,,,1077.53,,,5.63,0.83,3
2002-04-15,,,,1075.01,,,5.61,0.83,3.01
2002-04-16,,,,1073.39,,,5.61,0.83,3.02
2002-04-17,,,,1079.7,,,5.64,0.84,3
2002-04-18,,,,1085.84,,,5.67,0.84,2.98
2002-04-19,,,,1072.59,,,5.6,0.83,3.02
2002-04-22,,,,1064.28,,,5.56,0.82,3.04
2002-04-23,,,,1066.43,,,5.57,0.83,3.03
2002-04-24,,,,1069.73,,,5.59,0.83,3.03
2002-04-25,,,,1071.85,,,5.6,0.83,3.02
2002-04-26,,,,1070.19,,,5.51,0.82,3.07
2002-04-29,,,,1041.25,,,5.37,0.8,3.15
2002-04-30,,,,1044.13,,,5.38,0.8,3.14
2002-05-02,,,,1042.4,,,5.37,0.8,3.15
2002-05-03,,,,1045.67,,,5.39,0.8,3.14
2002-05-06,,,,1050.76,,,5.42,0.8,3.12
2002-05-07,,,,1062.13,,,5.47,0.81,3.09
2002-05-08,,,,1068.38,,,5.51,0.82,3.07
2002-05-09,,,,1071.6,,,5.52,0.82,3.06
2002-05-10,,,,1069.22,,,5.51,0.82,3.07
2002-05-13,,,,1069.68,,,5.51,0.82,3.07
2002-05-14,,,,1075.13,,,5.54,0.82,3.05
2002-05-15,,,,1062,,,5.47,0.81,3.09
2002-05-16,,,,1044.12,,,5.38,0.8,3.14
2002-05-17,,,,1040.53,,,5.36,0.8,3.15
2002-05-20,,,,1023.48,,,5.27,0.78,3.21
2002-05-21,,,,1022.69,,,5.27,0.78,3.21
2002-05-22,,,,1016.44,,,5.24,0.78,3.23
2002-05-23,,,,1005.44,,,5.18,0.77,3.26
2002-05-24,,,,1026.47,,,5.29,0.78,3.2
2002-05-27,,,,1022.56,,,5.27,0.78,3.21
2002-05-28,,,,1016.69,,,5.24,0.78,3.23
2002-05-29,,,,1020.86,,,5.26,0.78,3.21
2002-05-30,,,,1020.23,,,5.26,0.78,3.22
2002-05-31,,,,1039.46,,,6.33,0.94,2.67
2002-06-03,,,,1045.7,,,6.37,0.95,2.65
2002-06-04,,,,1042.61,,,6.35,0.94,2.66
2002-06-05,,,,1075.26,,,6.55,0.97,2.58
2002-06-06,,,,1103.25,,,6.72,1,2.52
2002-06-07,,,,1084.99,,,6.61,0.98,2.56
2002-06-10,,,,1114.64,,,6.79,1.01,2.49
2002-06-11,,,,1147.46,,,6.99,1.04,2.42
2002-06-12,,,,1163.08,,,7.09,1.05,2.39
2002-06-13,,,,1139.27,,,6.94,1.03,2.44
2002-06-14,,,,1127.52,,,6.87,1.02,2.46
2002-06-17,,,,1141.47,,,6.96,1.03,2.43
2002-06-18,,,,1143.18,,,6.97,1.03,2.43
2002-06-19,,,,1122.26,,,6.84,1.01,2.47
2002-06-20,,,,1133.25,,,6.9,1.02,2.45
2002-06-21,,,,1117,,,6.81,1.01,2.48
