Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2018-07-02,    14962.80,    14970.20,    14824.45,    14913.45,      118523316,         3501.52
2018-07-03,    14892.60,    14971.20,    14845.05,    14909.45,       61771552,         1843.34
2018-07-04,    14946.00,    15060.80,    14866.60,    15032.90,       49239781,         1629.78
2018-07-05,    15063.75,    15114.85,    15038.55,    15059.45,       54191035,         2088.98
2018-07-06,    15019.20,    15111.30,    15010.25,    15056.65,       74175095,         2319.03
2018-07-09,    15150.70,    15229.10,    15132.30,    15210.25,       69273805,         2421.89
2018-07-10,    15257.40,    15296.60,    15213.10,    15267.40,       74000377,         3171.36
2018-07-11,    15281.70,    15317.25,    15210.45,    15241.60,       58420963,         2050.73
2018-07-12,    15310.55,    15433.75,    15309.65,    15344.95,       87780558,         2450.10
2018-07-13,    15360.40,    15397.60,    15266.65,    15287.10,       66797174,         2236.19
2018-07-16,    15276.45,    15293.25,    15131.80,    15153.70,       76170245,         2394.38
2018-07-17,    15155.65,    15351.25,    15146.60,    15330.70,      167324089,         3023.21
2018-07-18,    15381.25,    15404.50,    15210.20,    15238.20,      123399510,         3252.99
2018-07-19,    15288.25,    15319.20,    15109.40,    15142.80,       87851243,         3175.38
2018-07-20,    15127.15,    15231.20,    15104.20,    15195.90,       63793235,         2427.18
2018-07-23,    15118.75,    15312.80,    15106.45,    15296.05,      139096963,         2893.49
2018-07-24,    15289.20,    15357.20,    15189.40,    15250.20,       81986648,         2116.90
2018-07-25,    15248.45,    15301.20,    15219.90,    15244.55,       80372370,         2373.40
2018-07-26,    15246.95,    15396.30,    15222.70,    15381.20,      151322190,         5398.86
2018-07-27,    15424.65,    15565.35,    15386.70,    15548.25,      110009582,         3292.12
2018-07-30,    15621.10,    15684.05,    15495.85,    15666.45,      127845458,         4042.31
2018-07-31,    15650.30,    15679.10,    15549.30,    15613.45,       91342659,         3254.38
2018-08-01,    15576.90,    15661.25,    15440.05,    15508.25,       67881810,         2027.07
2018-08-02,    15438.10,    15454.85,    15368.30,    15387.40,       68445508,         2249.36
2018-08-03,    15466.60,    15636.10,    15445.10,    15621.25,       84930744,         3277.58
2018-08-06,    15668.30,    15787.05,    15659.15,    15727.05,       97618249,         3508.43
2018-08-07,    15756.80,    15767.80,    15672.40,    15729.50,       80100152,         3016.59
2018-08-08,    15762.65,    15877.95,    15697.05,    15835.35,       66851843,         2363.45
2018-08-09,    15879.65,    16040.30,    15879.15,    15994.95,      147196423,         5027.61
2018-08-10,    16007.80,    16030.95,    15922.20,    15942.60,      116252908,         3614.45
2018-08-13,    15771.45,    15859.50,    15762.20,    15800.30,       68175673,         2495.13
2018-08-14,    15824.40,    15993.75,    15815.30,    15975.85,       65547004,         2290.21
2018-08-16,    15854.15,    15970.20,    15812.50,    15864.70,      113968169,         4570.70
2018-08-17,    15962.25,    16058.55,    15936.90,    16027.55,      119167835,         3469.44
2018-08-20,    16049.50,    16115.95,    16040.85,    16062.50,      139895763,         2944.44
2018-08-21,    16068.20,    16076.25,    15983.30,    16054.90,      114173770,         3188.58
2018-08-23,    16089.35,    16090.35,    15898.00,    15932.75,       87240771,         3317.54
2018-08-24,    15903.60,    15967.05,    15778.75,    15814.50,       86898361,         3490.52
2018-08-27,    15882.00,    16100.00,    15877.45,    16077.75,       92296380,         3726.52
2018-08-28,    16152.15,    16152.15,    16011.65,    16088.90,       93484527,         3367.42
2018-08-29,    16054.35,    16129.15,    16013.90,    16045.45,      111919683,         4012.79
2018-08-30,    16047.90,    16047.90,    15881.75,    15973.50,      128910721,         4941.09
2018-08-31,    15894.40,    16011.35,    15869.40,    15933.20,      160433165,         5842.65
2018-09-03,    16005.45,    16008.35,    15724.55,    15748.30,       74995530,         2788.58
2018-09-04,    15763.35,    15780.45,    15518.30,    15563.20,      102259215,         3025.90
2018-09-05,    15543.20,    15595.10,    15397.15,    15531.90,       89547700,         2841.01
2018-09-06,    15582.30,    15625.95,    15459.95,    15590.80,       72022055,         2919.64
2018-09-07,    15572.65,    15639.40,    15437.10,    15618.30,       95839600,         3401.75
2018-09-10,    15564.15,    15584.40,    15426.80,    15475.95,      127843457,         5340.07
2018-09-11,    15519.75,    15543.90,    15240.50,    15263.85,       98432350,         4299.36
2018-09-12,    15320.40,    15320.40,    15102.55,    15248.80,       96283610,         3547.87
2018-09-14,    15385.20,    15472.50,    15339.75,    15448.25,       84184880,         3506.67
2018-09-17,    15354.00,    15354.00,    15223.40,    15277.15,       62423698,         2278.35
2018-09-18,    15249.65,    15345.15,    15084.05,    15103.95,      105480829,         3270.70
2018-09-19,    15156.25,    15206.65,    15008.10,    15032.95,       67432504,         3081.30
2018-09-21,    15033.75,    15121.15,    14275.95,    14513.65,      426118612,        12674.77
2018-09-24,    14539.40,    14545.80,    14119.10,    14154.55,      194019653,         6004.30
2018-09-25,    14139.35,    14396.75,    13967.45,    14346.95,      217616201,         6776.10
2018-09-26,    14456.10,    14456.50,    14273.35,    14401.95,      133359362,         4362.51
2018-09-27,    14446.80,    14453.35,    14112.45,    14133.05,      200138241,         5402.29
2018-09-28,    14190.65,    14270.10,    14028.35,    14151.05,      255811780,         6261.81
2018-10-01,    14006.65,    14252.05,    13826.10,    14226.60,      233490092,         7254.16
2018-10-03,    14181.50,    14268.90,    13990.90,    14015.95,      182730759,         5912.55
2018-10-04,    13824.70,    14002.10,    13702.65,    13953.30,      184637301,         6078.45
2018-10-05,    13901.80,    14123.10,    13607.60,    13735.80,      134012985,         4672.27
2018-10-08,    13747.25,    13940.75,    13617.90,    13864.55,      159089665,         4792.42
2018-10-09,    13915.20,    13970.75,    13794.30,    13826.75,      118311504,         3382.91
2018-10-10,    13880.75,    14329.10,    13858.95,    14289.85,      147342161,         4573.46
2018-10-11,    13831.65,    14132.85,    13803.85,    14031.15,      181414408,         5139.45
2018-10-12,    14158.55,    14458.10,    14146.90,    14412.55,      132741317,         4314.62
2018-10-15,    14432.25,    14432.25,    14232.50,    14359.60,      114957263,         3560.99
2018-10-16,    14381.50,    14582.60,    14353.75,    14496.75,      268497184,         4826.52
