Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2020-08-28,-0,-0,-0,     5192.55,       81726583,         3956.86
2020-08-31,-0,-0,-0,     5087.73,      273553315,         9506.59
2020-09-01,-0,-0,-0,     5067.02,      136059469,         5480.42
2020-09-02,-0,-0,-0,     5136.60,       89979399,         3840.76
2020-09-03,-0,-0,-0,     5117.82,       73809171,         2852.16
2020-09-04,-0,-0,-0,     5039.85,       79815220,         3822.50
2020-09-07,-0,-0,-0,     5022.25,       77089645,         3185.44
2020-09-08,-0,-0,-0,     5028.77,       92352422,         4224.20
2020-09-09,-0,-0,-0,     5033.23,      125106893,         6826.75
2020-09-10,-0,-0,-0,     5240.65,      182324726,        16973.02
2020-09-11,-0,-0,-0,     5249.23,      100478338,         7757.56
2020-09-14,-0,-0,-0,     5237.32,       90235386,         5973.08
2020-09-15,-0,-0,-0,     5273.71,       68708525,         4018.28
2020-09-16,-0,-0,-0,     5252.69,       70706737,         4614.07
2020-09-17,-0,-0,-0,     5221.69,       75430937,         3861.15
2020-09-18,-0,-0,-0,     5221.17,      132264703,         5647.50
2020-09-21,-0,-0,-0,     5081.94,       98596553,         4982.14
2020-09-22,-0,-0,-0,     4966.03,      113907105,         5170.09
2020-09-23,-0,-0,-0,     4952.75,      100903380,         5584.39
2020-09-24,-0,-0,-0,     4822.88,      109565794,         4209.10
2020-09-25,-0,-0,-0,     4908.07,      105069234,         4298.37
2020-09-28,-0,-0,-0,     5000.28,       88168135,         3132.05
2020-09-29,-0,-0,-0,     4990.99,       83761552,         3830.75
2020-09-30,-0,-0,-0,     4914.80,      126527736,         5016.55
2020-10-01,-0,-0,-0,     4920.95,       91685627,         3656.07
2020-10-05,-0,-0,-0,     4916.19,       79079810,         2983.04
2020-10-06,-0,-0,-0,     4906.81,       65127265,         2749.12
2020-10-07,-0,-0,-0,     4907.84,      133151747,         6990.82
2020-10-08,-0,-0,-0,     4871.29,       85678327,         3348.02
2020-10-09,-0,-0,-0,     4890.82,       98986502,         3289.87
2020-10-12,-0,-0,-0,     4850.55,       59663091,         2311.79
2020-10-13,-0,-0,-0,     4853.76,       65782973,         3304.16
2020-10-14,-0,-0,-0,     4816.26,       98164579,         3982.73
2020-10-15,-0,-0,-0,     4741.48,       85504046,         3295.89
2020-10-16,-0,-0,-0,     4777.30,       95734451,         3530.56
2020-10-19,-0,-0,-0,     4844.03,      104665505,         4293.52
2020-10-20,-0,-0,-0,     4789.65,       75942050,         2731.77
2020-10-21,-0,-0,-0,     4806.04,      114382847,         4887.65
2020-10-22,-0,-0,-0,     4846.33,      117792577,         4427.10
2020-10-23,-0,-0,-0,     4857.05,       71069999,         3139.56
2020-10-26,-0,-0,-0,     4755.22,       77320509,         4476.42
2020-10-27,-0,-0,-0,     4771.95,       86883203,         4471.19
2020-10-28,-0,-0,-0,     4729.40,       82479368,         3752.23
2020-10-29,-0,-0,-0,     4738.35,       99166424,         3956.48
2020-10-30,-0,-0,-0,     4806.91,      165339058,         5373.31
2020-11-02,-0,-0,-0,     4646.26,      112074285,         9742.29
2020-11-03,-0,-0,-0,     4632.70,      101735868,         8608.97
2020-11-04,-0,-0,-0,     4684.29,       96683197,         7915.08
2020-11-05,-0,-0,-0,     4820.05,      149024109,         5655.43
2020-11-06,-0,-0,-0,     4882.95,      100030886,         7324.43
2020-11-09,-0,-0,-0,     4947.95,       82999204,         4664.29
2020-11-10,-0,-0,-0,     5035.72,      127732985,         5022.50
2020-11-11,-0,-0,-0,     5040.54,      143441063,         7210.07
2020-11-12,-0,-0,-0,     5029.78,       90105939,         4917.31
2020-11-13,-0,-0,-0,     5057.14,       93985735,         5639.68
2020-11-14,-0,-0,-0,     5117.64,       30418836,         1072.13
2020-11-17,-0,-0,-0,     5101.72,      134647413,         6611.39
2020-11-18,-0,-0,-0,     5123.79,      126153253,         5687.30
2020-11-19,-0,-0,-0,     5092.66,      125845061,         4848.08
2020-11-20,-0,-0,-0,     5072.94,      128054921,         6958.31
2020-11-23,-0,-0,-0,     5190.67,      154818093,         6161.66
2020-11-24,-0,-0,-0,     5206.42,      113617054,         4340.56
2020-11-25,-0,-0,-0,     5204.29,      176458826,         4994.72
2020-11-26,-0,-0,-0,     5194.55,      105024090,         3793.75
2020-11-27,-0,-0,-0,     5217.53,      257737304,         9971.31
2020-12-01,-0,-0,-0,     5317.40,      189767673,         4526.14
2020-12-02,-0,-0,-0,     5398.23,      249648640,         5448.33
2020-12-03,-0,-0,-0,     5463.37,      216159543,         5744.04
