rank;name;country_of_origin;retail_revenue;parent_company_revenue;parent_company_net_income;dominant_operational_format;countries_of_operation;retail_revenue_cagr
64;Cencosud S.A.;Chile;14525.0;15147.0;568.0;Supermarket;5;0.066
65;Nordstrom, Inc.;US;14498.0;14757.0;354.0;Department Store;3;0.067
66;Yamada Denki Co., Ltd.;Japan;14425.0;14425.0;338.0;Electronics Specialty;7;-0.032
67;Marks and Spencer Group plc;UK;13837.0;13837.0;151.0;Department Store;50;0.013
68;Steinhoff International Holdings N.V.;S. Africa;13596.0;14909.0;1364.0;Other Specialty;31;0.229
69;Dixons Carphone plc;UK;13379.0;13653.0;381.0;Electronics Specialty;10;0.048
70;John Lewis Partnership plc;UK;13361.0;13361.0;471.0;Supermarket;6;0.053
71;El Corte Inglés, S.A.;Spain;13306.0;17061.0;178.0;Department Store;9;-0.005
72;Coop Italia;Italy;13042.0;16040.0;;Hypermarket/Supercenter/Superstore;1;0.003
73;Ross Stores, Inc.;US;12867.0;12867.0;1118.0;Apparel/Footwear Specialty;1;0.084
74;BJ's Wholesale Club, Inc.;US;12800.0;12800.0;;Cash & Carry/Warehouse Club;1;0.025
75;CP ALL Plc.;Thailand;12754.0;12780.0;476.0;Convenience/Forecourt Store;1;0.232
76;L Brands, Inc.;US;12574.0;12574.0;1158.0;Apparel/Footwear Specialty;79;0.039
77;J. C. Penney Company, Inc.;US;12547.0;12547.0;1.0;Department Store;2;-0.062
78;Conad Consorzio Nazionale, Dettaglianti Soc.;Italy;12345.0;13717.0;;Supermarket;2;0.031
79;Bed Bath and Beyond Inc.;US;12216.0;12216.0;685.0;Other Specialty;4;0.052
80;ICA Gruppen AB;Sweden;11824.0;12099.0;399.0;Supermarket;5;0.017
81;Gome Home Appliance Group;China;11544.0;11544.0;8.0;Electronics Specialty;1;-0.025
82;"Toys ""R"" Us, Inc.";US;11540.0;11540.0;29.0;Other Specialty;39;-0.037
83;Isetan Mitsukoshi Holdings Ltd.;Japan;11489.0;11568.0;136.0;Department Store;9;0.005
84;E-MART Inc.;S. Korea;11447.0;12690.0;328.0;Hypermarket/Supercenter/Superstore;4;0.108
85;Dairy Farm International Holdings Limited;Hong Kong;11201.0;11201.0;470.0;Supermarket;11;0.042
86;Décathlon S.A.;France;11062.0;11062.0;;Other Specialty;29;0.09
87;Hudson's Bay Company;Canada;10970.0;10970.0;392.0;Department Store;9;0.303
88;S Group;Finland;10835.0;12190.0;;Supermarket;5;0.015
89;Otto (GmbH & Co KG);Germany;10805.0;14604.0;45.0;Non-Store;30;-0.004
90;Liberty Interactive Corporation;US;10647.0;10647.0;1274.0;Non-Store;9;0.021
91;AutoZone, Inc.;US;10636.0;10636.0;1241.0;Other Specialty;4;0.057
92;Southeastern Grocers, LLC;US;10500.0;10500.0;;Supermarket;1;0.317
93;Spar Holding AG;Austria;10447.0;10533.0;283.0;Supermarket;8;0.019
94;Shoprite Holdings Ltd.;S. Africa;10340.0;10340.0;399.0;Supermarket;15;0.113
95;S.A.C.I. Falabella;Chile;10288.0;11578.0;994.0;Home Improvement;6;0.098
96;Menard, Inc.;US;10000.0;10000.0;;Home Improvement;1;0.026
97;Tengelmann Warenhandelsgesellschaft KG;Germany;9856.0;9956.0;;Home Improvement;13;0.017
98;Distribuidora Internacional de Alimentación, S.A.;Spain;9809.0;9932.0;193.0;Discount Store;6;-0.019
99;Hy-Vee, Inc.;US;9800.0;9800.0;;Supermarket;1;0.062
100;FEMSA Comercio, S.A. de C.V.;Mexico;9662.0;9662.0;;Convenience/Forecourt Store;4;0.195
101;Metro Inc.;Canada;9646.0;9646.0;442.0;Supermarket;1;0.023
102;Co-operative Group Ltd.;UK;9631.0;12792.0;181.0;Convenience/Forecourt Store;1;-0.027
103;dm-drogerie markt GmbH + Co. KG;Germany;9616.0;10779.0;;Drug Store/Pharmacy;12;0.093
104;Advance Auto Parts, Inc.;US;9568.0;9568.0;460.0;Other Specialty;3;0.092
105;Giant Eagle, Inc.;US;9300.0;9300.0;;Supermarket;1;-0.003
106;Dirk Rossmann GmbH;Germany;9292.0;9292.0;;Drug Store/Pharmacy;6;0.104
107;J. Front Retailing Co., Ltd.;Japan;9229.0;10231.0;280.0;Department Store;2;0.033
108;Louis Delhaize S.A.;Belgium;9181.0;12168.0;;Hypermarket/Supercenter/Superstore;4;-0.037
109;NIKE, Inc. / Direct to Consumer;US;9082.0;34350.0;4240.0;Apparel/Footwear Specialty;81;0.208
110;NorgesGruppen ASA;Norway;9081.0;9534.0;293.0;Discount Store;1;0.062
111;Canadian Tire Corporation, Limited;Canada;8635.0;9566.0;564.0;Other Specialty;1;0.041
112;GameStop Corp.;US;8608.0;8608.0;353.0;Other Specialty;14;-0.021
113;O'Reilly Automotive, Inc.;US;8593.0;8593.0;1038.0;Other Specialty;1;0.082
114;Dansk Supermarked A/S;Denmark;8554.0;8602.0;196.0;Discount Store;4;0.013
115;Associated British Foods plc / Primark;UK;8451.0;19035.0;1166.0;Apparel/Footwear Specialty;11;0.143
116;Wegmans Food Markets, Inc.;US;8300.0;8300.0;;Supermarket;1;0.056
117;FNAC Darty (formerly Groupe FNAC S.A.);France;8206.0;8206.0;0.0;Other Specialty;9;0.123
118;Central Group;Thailand;8062.0;9408.0;;Department Store;6;0.198
119;Colruyt Group;Belgium;8027.0;10412.0;420.0;Supermarket;3;0.041
120;Organización Soriana, S.A.B. de C.V.;Mexico;8001.0;8001.0;225.0;Hypermarket/Supercenter/Superstore;1;0.088
121;Vipshop Holdings Limited;China;7962.0;8151.0;287.0;Non-Store;1;1.038
122;Dick's Sporting Goods, Inc.;US;7922.0;7922.0;287.0;Other Specialty;1;0.087
123;The Sherwin-Williams Company / Paint Stores;US;7790.0;11856.0;1133.0;Home Improvement;11;0.103
124;FamilyMart UNY Holdings Co., Ltd. (formerly;Japan;7788.0;7788.0;194.0;Convenience/Forecourt Store;8;0.207
125;Foot Locker, Inc.;US;7766.0;7766.0;664.0;Apparel/Footwear Specialty;32;0.067
126;Kesko Corporation;Finland;7743.0;11262.0;126.0;Home Improvement;8;-0.015
127;Dufry AG;Switzerland;7736.0;7946.0;46.0;Other Specialty;64;0.244
128;Kering S.A.;France;7727.0;13700.0;961.0;Apparel/Footwear Specialty;95;-0.029
129;H2O Retailing Corporation;Japan;7726.0;8317.0;132.0;Department Store;2;0.124
130;Takashimaya Company, Ltd.;Japan;7673.0;8524.0;199.0;Department Store;4;0.008
131;Esselunga S.p.A.;Italy;7644.0;8341.0;290.0;Hypermarket/Supercenter/Superstore;1;0.026
132;C&A Europe;Belgium/;7373.0;7373.0;;Apparel/Footwear Specialty;18;-0.003
133;Don Quijote Holdings Co., Ltd. (formerly Don;Japan;7349.0;7596.0;358.0;Discount Department Store;2;0.091
134;Reitan Group;Norway;7312.0;7407.0;763.0;Discount Store;7;0.1
135;Beisia Group Co., Ltd.;Japan;7245.0;7875.0;;Home Improvement;1;0.013
136;Shanghai Bailian Group Co., Ltd.;China;7081.0;7081.0;136.0;Hypermarket/Supercenter/Superstore;1;0.008
137;Yonghui Superstores Co., Ltd.;China;7031.0;7410.0;90.0;Hypermarket/Supercenter/Superstore;1;0.222
138;Compagnie Financière Richemont SA;Switzerland;7007.0;11677.0;1327.0;Other Specialty;60;0.065
139;PetSmart, Inc.;US;7000.0;7000.0;;Other Specialty;3;0.027
140;Ascena Retail Group, Inc.;US;6995.0;6995.0;12.0;Apparel/Footwear Specialty;3;0.191
141;Emke Group / Lulu Group International;UAE;6900.0;6900.0;;Hypermarket/Supercenter/Superstore;10;0.102
142;Bic Camera Inc.;Japan;6874.0;6874.0;119.0;Electronics Specialty;1;0.049
143;Homeplus Stores Co., Ltd.;S. Korea;6858.0;6858.0;143.0;Hypermarket/Supercenter/Superstore;1;
144;Tractor Supply Company;US;6780.0;6780.0;437.0;Other Specialty;1;0.099
145;Globus Holding GmbH & Co. KG;Germany;6764.0;6830.0;;Hypermarket/Supercenter/Superstore;4;0.032
146;Yodobashi Camera Co., Ltd.;Japan;6761.0;6761.0;;Electronics Specialty;1;0.018
147;WinCo Foods LLC;US;6700.0;6700.0;;Supermarket;1;0.052
148;Staples, Inc.;US;6662.0;18247.0;1497.0;Other Specialty;5;-0.127
149;BİM Birleşik Mağazalar A.Ş.;Turkey;6635.0;6635.0;222.0;Discount Store;3;0.196
150;Chow Tai Fook Jewellery Group Limited;Hong Kong;6604.0;6604.0;406.0;Other Specialty;8;-0.02
151;Majid Al Futtaim Holding LLC;UAE;6501.0;8141.0;758.0;Hypermarket/Supercenter/Superstore;15;0.08
152;Army and Air Force Exchange Service (AAFES);US;6462.0;6462.0;292.0;Convenience/Forecourt Store;36;-0.068
153;Signet Jewelers Limited;Bermuda;6390.0;6408.0;543.0;Other Specialty;5;0.113
154;President Chain Store Corp.;Taiwan;6294.0;6669.0;345.0;Convenience/Forecourt Store;4;0.034
155;Dillard's, Inc.;US;6232.0;6418.0;169.0;Department Store;1;-0.003
156;The SPAR Group Limited;S. Africa;6232.0;6232.0;123.0;Supermarket;11;0.189
157;Belle International Holdings Limited;Hong Kong;6227.0;6227.0;361.0;Apparel/Footwear Specialty;2;0.076
158;Edion Corporation;Japan;6224.0;6224.0;121.0;Electronics Specialty;1;-0.023
159;Izumi Co., Ltd.;Japan;6186.0;6186.0;161.0;Hypermarket/Supercenter/Superstore;1;0.064
160;K's Holdings Corporation;Japan;6074.0;6074.0;186.0;Electronics Specialty;1;-0.019
161;GS Retail Co., Ltd.;S. Korea;6034.0;6356.0;235.0;Convenience/Forecourt Store;2;0.125
162;Life Corporation;Japan;6026.0;6026.0;75.0;Supermarket;1;0.06
163;Jumbo Groep Holding B.V.;Netherlands;6021.0;6021.0;121.0;Supermarket;1;0.152
164;Axel Johnson AB / Axfood, Axstores;Sweden;6000.0;8442.0;360.0;Supermarket;4;0.316
165;Bauhaus GmbH & Co. KG;Germany;5946.0;5946.0;;Home Improvement;19;0.056
166;SM Investments Corporation;Philippines;5804.0;7627.0;1004.0;Hypermarket/Supercenter/Superstore;1;0.129
167;Sonae, SGPS, SA;Portugal;5669.0;5947.0;246.0;Supermarket;24;0.023
168;Grupo Eroski;Spain;5641.0;6092.0;25.0;Supermarket;2;-0.045
169;Coppel S.A. de C.V.;Mexico;5617.0;5617.0;;Department Store;3;0.123
170;Office Depot, Inc.;US;5603.0;11021.0;529.0;Other Specialty;2;-0.022
171;Coop Danmark A/S;Denmark;5602.0;5776.0;8.0;Supermarket;2;-0.004
172;Burlington Stores, Inc.;US;5591.0;5591.0;216.0;Department Store;2;0.075
173;Agrokor d.d.;Croatia;5461.0;6759.0;1617.0;Supermarket;5;0.112
174;Berkshire Hathaway Inc. / Retailing operations;US;5460.0;223604.0;24427.0;Other Specialty;9;0.122
175;Next plc;UK;5443.0;5460.0;847.0;Apparel/Footwear Specialty;72;0.036
176;Pick n Pay Stores Limited;S. Africa;5418.0;5418.0;87.0;Supermarket;7;0.07
177;E.Land World Co., Ltd.;S. Korea;5413.0;6329.0;2.0;Apparel/Footwear Specialty;3;0.057
178;Tsuruha Holdings Inc.;Japan;5325.0;5325.0;234.0;Drug Store/Pharmacy;2;0.124
179;Deichmann SE;Germany;5310.0;6195.0;;Apparel/Footwear Specialty;24;0.061
180;Coop Norge, the Group;Norway;5290.0;5585.0;45.0;Supermarket;1;0.091
181;Defense Commissary Agency (DeCA);US;5250.0;5250.0;;Supermarket;13;-0.025
182;Shimamura Co., Ltd.;Japan;5219.0;5219.0;303.0;Apparel/Footwear Specialty;3;0.039
183;Big Lots, Inc.;US;5200.0;5200.0;153.0;Discount Store;1;0.0
184;The Michaels Companies, Inc.;US;5197.0;5197.0;378.0;Other Specialty;2;0.043
