Country,latest year available_perc,Total GHG emissions _perc,GHG from Energy_perc,"GHG from Energy 
of which: from Transport_perc",GHG from Industrial Processes_perc,GHG from Agriculture_perc,GHG from Waste_perc,Total GHG emissions _tonnes,GHG from Energy_tonnes,"GHG from Energy 
of which: from Transport_tonnes",GHG from Industrial Processes_tonnes,GHG from Agriculture_tonnes,GHG from Waste_tonnes
,,mio. tonnes of CO2 equivalent,%,%,%,%,%,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent
Bolivia (Plurinational State of),2004,43.67,20.69,9.79,48.71,26.7,3.9,43.67,9.03,4.27,21.27,11.66,1.7
Bosnia and Herzegovina,2001,16.12,76.5,...,3.7,13.67,6.13,16.12,12.33,...,0.6,2.2,0.99
Botswana,1994,9.29,41.35,8.62,2.27,54.53,1.85,9.29,3.84,0.8,0.21,5.07,0.17
Brazil,2005,862.81,38.11,15.59,8.95,48.19,4.76,862.81,328.79,134.54,77.2,415.77,41.05
Bulgaria,2012,61.26,77,13.75,6.36,10.67,5.9,61.26,47.17,8.42,3.9,6.54,3.61
Burkina Faso,1994,5.97,15.22,5.41,...,78.89,5.89,5.97,0.91,0.32,...,4.71,0.35
Burundi,2005,26.47,1.35,0.4,0,97.9,0.76,26.47,0.36,0.11,0,25.92,0.2
Cabo Verde,2000,0.45,65.6,30.73,0.19,29.23,4.98,0.45,0.29,0.14,0,0.13,0.02
Cambodia,1994,12.76,14.74,6.51,0.39,82.74,2.13,12.76,1.88,0.83,0.05,10.56,0.27
Cameroon,1994,165.73,1.95,0.82,35.31,61.69,1.04,165.73,3.24,1.35,58.52,102.23,1.73
Canada,2012,698.63,80.98,27.93,8.08,7.95,2.94,698.63,565.76,195.11,56.46,55.53,20.57
Central African Republic,1994,37.74,50.16,0.32,...,43.04,6.8,37.74,18.93,0.12,...,16.24,2.57
Chad,1993,8.02,3.86,...,...,91,5.14,8.02,0.31,...,...,7.3,0.41
Chile,2006,78.96,73.23,21.63,6.64,16.97,3.15,78.96,57.82,17.08,5.24,13.4,2.49
China,2005, 7 465.86,77.28,5.77,10.25,10.97,1.5, 7 465.86, 5 769.85,430.79,764.89,819.33,111.79
Colombia,2004,153.88,42.87,14.15,5.89,44.56,6.68,153.88,65.97,21.77,9.07,68.57,10.28
Comoros,1994,0.51,13.77,...,...,85.61,0.62,0.51,0.07,...,...,0.44,0
Congo,2000,2.07,78.05,18.68,0.23,15.72,6,2.07,1.61,0.39,0,0.32,0.12
Cook Islands,1994,0.08,40.55,19.99,...,12.85,46.59,0.08,0.03,0.02,...,0.01,0.04
Costa Rica,2005,12.11,47,32.12,4.1,38,10.9,12.11,5.69,3.89,0.5,4.6,1.32
Côte d'Ivoire,2000,271.2,24.55,0.81,0,71.76,3.69,271.2,66.59,2.2,0,194.61,10
Croatia,2012,26.45,71.54,21.59,10.78,12.83,4.26,26.45,18.92,5.71,2.85,3.39,1.13
Cuba,1996,40.19,66.29,...,3.03,25.56,5.12,40.19,26.64,...,1.22,10.27,2.06
Cyprus,2012,9.26,70.8,22.32,8.79,8.81,10.81,9.26,6.56,2.07,0.81,0.82,1
Czech Republic,2012,131.47,81.46,12.86,9.2,6.13,2.87,131.47,107.09,16.91,12.1,8.06,3.77
Democratic People's Republic of Korea,2002,87.33,88.86,1.7,6.48,3.22,1.43,87.33,77.61,1.49,5.66,2.81,1.25
Democratic Republic of the Congo,2003,46,7.82,1.81,0.34,75.18,16.66,46,3.6,0.83,0.16,34.58,7.66
Denmark,2012,53.12,76.07,23.51,3.41,18.15,2.07,53.12,40.41,12.49,1.81,9.64,1.1
Djibouti,2000,1.07,33.26,10.15,...,61.67,5.07,1.07,0.36,0.11,...,0.66,0.05
Dominica,2005,0.18,66.91,25.73,0,22.76,10.32,0.18,0.12,0.05,0,0.04,0.02
Dominican Republic,2000,26.43,69.03,23.39,3.07,21.57,6.33,26.43,18.25,6.18,0.81,5.7,1.67
Ecuador,2006,247.99,10.85,5.16,1.11,84.73,3.32,247.99,26.9,12.78,2.75,210.11,8.23
Egypt,2000,193.24,60.13,14.08,14.37,16.46,9.04,193.24,116.19,27.21,27.77,31.8,17.48
El Salvador,2005,11.07,53.38,22.43,3.99,28.13,14.5,11.07,5.91,2.48,0.44,3.11,1.61
Eritrea,2000,3.93,19.17,5.06,0.89,78.88,1.07,3.93,0.75,0.2,0.04,3.1,0.04
Estonia,2012,19.19,87.93,11.88,3.45,6.91,1.61,19.19,16.87,2.28,0.66,1.33,0.31
Ethiopia,1995,47.75,15.84,...,0.72,80.63,2.8,47.75,7.57,...,0.34,38.5,1.34
Fiji,2004,2.71,60.98,27.05,...,35.52,3.5,2.71,1.65,0.73,...,0.96,0.09
Finland,2012,60.97,78.43,20.8,8.71,9.36,3.39,60.97,47.81,12.68,5.31,5.71,2.07
France,2012,496.4,71.87,26.98,7.26,18.07,2.57,496.4,356.76,133.93,36.03,89.71,12.76
Gabon,2000,6.16,86.08,6.57,1.46,5.84,6.61,6.16,5.3,0.4,0.09,0.36,0.41
Gambia,2000,19.38,1.75,0.51,89.08,8.09,1.07,19.38,0.34,0.1,17.27,1.57,0.21
Georgia,2006,12.22,48.82,10.52,14.58,27.11,9.44,12.22,5.97,1.29,1.78,3.31,1.15
Germany,2012,939.08,83.7,16.56,7.27,7.4,1.44,939.08,786.03,155.49,68.25,69.49,13.55
Ghana,2006,18.23,50.66,17.12,1.34,35.57,12.43,18.23,9.23,3.12,0.24,6.48,2.27
Greece,2012,110.99,78.61,14.5,8.66,8.18,4.27,110.99,87.26,16.1,9.61,9.08,4.74
